,Year,Team,Cmp %,Yds/Att,Rate,1st%,Win_loss_perc,Points_diff,Yds_per_play_offense,Score_pct,Turnover_pct,TD_to_Turnover_Rate,Sacks_taken_per_game,Penalties_per_game,Turnovers_per_game,Big_Plays,Big_Plays_per_game,Big_plays_per_game
103,2013,Chargers,69.5,8.2,105.5,42.3,0.563,48,5.9,44.9,14.6,1.52,1.88,5.94,1.31,66,4.12,4.12
104,2013,Chiefs,61.0,6.5,88.6,32.8,0.688,125,5.2,32.0,12.6,1.33,2.56,6.31,1.12,52,3.25,3.25
105,2013,Colts,60.1,6.8,86.5,32.8,0.688,55,5.3,38.8,10.9,1.64,2.0,4.12,0.88,55,3.44,3.44
106,2013,Cowboys,64.0,7.2,95.7,36.4,0.5,7,5.7,39.9,15.3,1.65,2.19,6.38,1.25,55,3.44,3.44
107,2013,Dolphins,60.1,6.7,80.1,34.5,0.5,-18,5.0,29.9,15.1,0.92,3.62,4.38,1.62,58,3.62,3.62
108,2013,Eagles,61.0,8.7,102.7,38.8,0.625,60,6.3,36.8,11.5,1.68,2.88,5.94,1.19,98,6.12,6.12
109,2013,Falcons,67.5,6.9,89.5,34.4,0.25,-90,5.4,34.1,10.9,0.93,2.75,5.69,1.75,53,3.31,3.31
110,2013,Giants,57.3,6.8,67.6,31.0,0.438,-89,5.0,25.5,13.7,0.41,2.5,5.69,2.75,61,3.81,3.81
111,2013,Jaguars,59.0,6.3,71.8,29.7,0.25,-202,4.6,23.6,11.2,0.59,3.12,6.0,1.69,50,3.12,3.12
112,2013,Jets,55.4,6.8,66.6,32.1,0.5,-97,5.0,29.6,13.6,0.45,2.94,6.75,1.81,53,3.31,3.31
113,2013,Lions,58.5,7.3,84.2,34.9,0.438,19,5.7,32.1,15.7,0.85,1.44,6.88,2.12,72,4.5,4.5
114,2013,49ers,58.5,7.7,91.7,35.5,0.75,134,5.4,37.8,8.7,1.17,2.44,6.44,1.12,56,3.5,3.5
115,2013,Packers,64.2,8.0,91.7,35.3,0.531,-11,6.0,40.9,15.9,1.0,2.81,5.38,1.56,76,4.75,4.75
116,2013,Panthers,61.7,7.1,88.8,35.7,0.75,125,5.1,36.5,12.1,1.26,2.69,5.0,1.19,40,2.5,2.5
117,2013,Patriots,60.5,6.9,87.3,35.8,0.75,106,5.4,40.8,13.8,1.25,2.5,4.31,1.25,57,3.56,3.56
118,2013,Raiders,57.4,7.0,73.9,32.4,0.25,-131,5.3,27.8,25.0,0.55,2.75,7.25,1.94,56,3.5,3.5
119,2013,Rams,59.5,6.6,84.8,32.6,0.438,-16,5.0,31.5,15.3,1.05,2.25,7.69,1.31,46,2.88,2.88
120,2013,Ravens,58.6,6.3,72.0,30.5,0.5,-32,4.5,30.9,18.1,0.66,3.0,7.0,1.81,59,3.69,3.69
121,2013,Commanders,58.1,6.6,76.1,32.4,0.188,-144,5.3,27.6,9.5,0.59,2.69,6.19,2.12,45,2.81,2.81
122,2013,Saints,68.5,7.9,104.5,37.5,0.688,110,5.9,40.3,12.7,2.05,2.31,5.94,1.19,82,5.12,5.12
123,2013,Seahawks,63.6,8.4,102.4,38.1,0.813,186,5.6,40.7,17.3,1.42,2.75,8.0,1.19,62,3.88,3.88
124,2013,Steelers,64.3,7.4,92.3,35.3,0.5,9,5.3,35.4,12.2,1.17,2.69,5.0,1.5,71,4.44,4.44
125,2013,Texans,58.6,6.6,74.0,31.3,0.125,-152,5.1,25.9,13.6,0.61,2.62,7.0,1.94,62,3.88,3.88
126,2013,Titans,61.5,7.0,83.6,32.3,0.438,-19,5.2,34.2,13.9,0.88,2.31,6.31,1.56,58,3.62,3.62
127,2013,Vikings,59.5,6.7,76.0,31.7,0.344,-89,5.4,34.4,21.1,0.56,2.75,4.38,2.0,61,3.81,3.81
128,2014,Bears,65.0,6.6,87.3,31.9,0.313,-123,5.2,27.8,15.1,1.03,2.56,7.06,1.81,49,3.06,3.06
129,2014,Bengals,64.2,7.1,84.2,32.6,0.656,21,5.5,34.0,14.6,0.77,1.44,6.38,1.62,43,2.69,2.69
130,2014,Bills,62.7,6.7,86.0,32.1,0.563,54,5.0,32.5,11.9,1.0,2.44,7.75,1.44,60,3.75,3.75
131,2014,Broncos,65.7,7.9,101.3,37.4,0.75,128,6.0,39.9,12.6,2.0,1.06,7.5,1.25,78,4.88,4.88
132,2014,Browns,54.6,7.3,72.8,35.7,0.438,-38,5.1,28.0,18.3,0.52,1.94,7.25,1.44,67,4.19,4.19
133,2014,Buccaneers,56.7,6.8,75.2,30.5,0.125,-133,5.0,26.7,12.4,0.64,3.25,7.38,2.06,60,3.75,3.75
134,2014,Cardinals,56.3,7.0,81.8,33.6,0.688,11,5.2,30.9,18.3,1.24,1.75,5.69,1.06,69,4.31,4.31
135,2014,Chargers,66.2,7.5,93.4,37.3,0.563,0,5.4,33.9,15.5,1.35,2.31,6.94,1.44,66,4.12,4.12
136,2014,Chiefs,64.9,7.0,92.2,37.3,0.563,72,5.3,35.8,14.7,1.06,3.06,5.5,1.06,46,2.88,2.88
137,2014,Colts,62.0,7.7,96.8,38.0,0.688,89,5.9,39.5,11.4,1.35,1.81,6.56,1.94,93,5.81,5.81
138,2014,Cowboys,68.9,8.4,110.9,43.1,0.75,115,6.1,43.6,12.6,1.48,1.88,6.56,1.56,66,4.12,4.12
139,2014,Dolphins,66.2,6.8,92.5,38.0,0.5,15,5.4,37.6,14.0,1.17,2.88,5.06,1.44,45,2.81,2.81
140,2014,Eagles,61.8,7.4,84.8,35.1,0.625,74,5.6,36.9,17.5,0.75,2.0,7.19,2.25,76,4.75,4.75
141,2014,Falcons,66.1,7.5,93.4,36.9,0.375,-36,5.8,38.9,16.1,1.22,1.94,6.06,1.44,70,4.38,4.38
142,2014,Giants,63.1,7.4,92.2,35.9,0.375,-20,5.4,34.7,15.0,1.07,1.88,6.31,1.75,63,3.94,3.94
143,2014,Jaguars,58.4,6.2,72.0,27.6,0.188,-163,4.7,22.6,16.9,0.58,4.44,4.56,1.62,52,3.25,3.25
144,2014,Jets,57.6,6.4,75.1,30.9,0.25,-118,5.0,31.7,16.0,0.67,2.94,6.81,1.5,49,3.06,3.06
145,2014,Lions,60.4,7.1,85.9,34.8,0.688,39,5.2,32.4,15.3,1.1,2.81,7.38,1.25,65,4.06,4.06
146,2014,49ers,60.0,7.0,86.3,33.9,0.5,-34,5.2,30.9,15.8,0.91,3.25,7.25,1.38,54,3.38,3.38
147,2014,Packers,65.1,8.3,109.9,41.4,0.75,138,6.2,46.7,12.1,2.92,1.88,5.75,0.81,74,4.62,4.62
148,2014,Panthers,60.0,7.0,86.2,36.5,0.469,-35,5.2,34.8,9.7,1.0,2.62,5.19,1.44,47,2.94,2.94
149,2014,Patriots,64.4,7.0,97.5,37.4,0.75,155,5.5,45.3,7.8,2.62,1.62,7.5,0.81,54,3.38,3.38
150,2014,Raiders,58.0,5.5,74.4,27.5,0.188,-199,4.5,22.7,17.3,0.76,1.75,7.25,1.81,37,2.31,2.31
151,2014,Rams,63.5,7.2,84.9,36.7,0.375,-30,5.3,29.6,18.7,0.74,2.94,7.69,1.69,50,3.12,3.12
152,2014,Ravens,62.1,7.2,91.0,35.0,0.625,107,5.7,39.6,15.3,1.35,1.19,6.94,1.25,57,3.56,3.56
153,2014,Commanders,66.5,8.2,88.8,34.0,0.25,-137,5.7,29.7,13.2,0.58,3.62,7.5,1.94,77,4.81,4.81
154,2014,Saints,69.2,7.5,97.0,39.2,0.438,-23,6.0,39.1,13.8,1.1,1.88,5.0,1.88,62,3.88,3.88
155,2014,Seahawks,63.2,7.7,95.1,35.2,0.75,140,5.9,40.6,11.4,1.43,2.62,8.12,0.88,62,3.88,3.88
156,2014,Steelers,67.2,8.2,103.2,39.7,0.688,68,6.2,41.4,11.4,1.57,2.06,6.44,1.31,71,4.44,4.44
157,2014,Texans,60.8,7.1,86.4,35.3,0.563,65,5.2,33.0,10.1,1.0,1.62,5.88,1.38,58,3.62,3.62
158,2014,Titans,58.3,7.3,81.0,31.0,0.125,-184,5.3,23.6,20.9,0.77,3.12,6.94,1.62,58,3.62,3.62
159,2014,Vikings,62.3,6.9,79.2,33.1,0.438,-18,5.1,31.8,18.5,0.85,3.19,6.25,1.25,50,3.12,3.12
160,2015,Bears,63.9,7.4,89.7,33.8,0.375,-62,5.4,37.4,15.0,1.0,2.12,6.19,1.31,66,4.12,4.12
161,2015,Bengals,66.1,8.1,104.1,37.8,0.75,140,5.7,39.6,12.6,1.82,2.0,6.94,1.06,76,4.75,4.75
162,2015,Bills,63.4,7.7,95.6,33.3,0.5,20,5.7,34.9,16.9,1.21,2.62,8.94,1.19,63,3.94,3.94
163,2015,Broncos,60.7,7.0,76.3,33.2,0.75,59,5.4,31.2,10.6,0.61,2.44,7.19,1.94,52,3.25,3.25
164,2015,Browns,60.9,6.8,84.0,31.5,0.188,-154,5.1,29.8,14.5,0.67,3.31,7.5,1.88,60,3.75,3.75
165,2015,Buccaneers,58.3,7.6,84.2,37.6,0.375,-75,5.9,35.8,14.0,0.79,1.69,8.94,1.75,66,4.12,4.12
166,2015,Cardinals,62.8,8.5,101.0,42.2,0.813,176,6.3,42.5,15.7,1.46,1.69,5.88,1.5,81,5.06,5.06
167,2015,Chargers,66.3,7.3,94.5,34.5,0.25,-78,5.4,33.7,12.4,1.25,2.5,7.31,1.5,61,3.81,3.81
168,2015,Chiefs,65.5,7.4,95.4,32.8,0.688,118,5.5,37.9,17.4,1.33,2.88,6.5,0.94,52,3.25,3.25
169,2015,Colts,57.4,6.4,77.5,31.5,0.5,-75,4.9,29.4,10.0,0.87,2.31,6.75,1.88,53,3.31,3.31
170,2015,Cowboys,63.3,7.0,76.6,33.1,0.25,-99,5.5,31.4,9.6,0.48,2.06,7.0,2.06,44,2.75,2.75
171,2015,Dolphins,62.1,7.2,88.9,33.0,0.375,-79,5.4,25.7,16.5,1.26,2.81,8.38,1.19,70,4.38,4.38
172,2015,Eagles,65.0,7.0,85.6,31.0,0.438,-53,5.3,29.1,11.5,0.74,2.31,6.5,1.94,67,4.19,4.19
173,2015,Falcons,66.0,7.4,87.8,37.0,0.5,-6,5.6,34.5,10.3,0.7,2.0,6.25,1.88,58,3.62,3.62
174,2015,Giants,62.9,7.2,94.5,33.4,0.375,-22,5.7,38.2,16.3,1.71,1.69,6.38,1.31,69,4.31,4.31
175,2015,Jaguars,58.5,7.3,88.1,35.4,0.313,-72,5.5,34.2,17.3,1.25,3.19,6.56,1.75,83,5.19,5.19
176,2015,Jets,59.9,6.9,88.0,34.8,0.625,73,5.5,35.7,11.5,1.38,1.38,6.0,1.5,65,4.06,4.06
177,2015,Lions,66.5,7.1,95.1,37.3,0.438,-42,5.4,34.6,11.2,1.38,2.75,6.5,1.5,60,3.75,3.75
178,2015,49ers,61.2,6.9,82.6,29.3,0.313,-149,5.0,25.8,16.3,0.94,3.31,7.06,1.06,58,3.62,3.62
179,2015,Packers,60.7,6.7,92.7,30.2,0.625,45,5.1,33.3,11.3,1.82,2.94,6.56,1.06,61,3.81,3.81
180,2015,Panthers,59.9,7.7,99.2,39.3,0.938,192,5.5,42.9,9.9,1.84,2.06,6.44,1.19,63,3.94,3.94
181,2015,Patriots,64.2,7.6,101.9,36.4,0.75,150,5.7,43.2,6.9,2.57,2.38,6.0,0.88,71,4.44,4.44
182,2015,Raiders,61.6,6.8,91.0,31.9,0.438,-40,5.3,31.8,11.8,1.42,2.06,8.69,1.5,63,3.94,3.94
183,2015,Rams,57.7,6.2,74.1,26.6,0.438,-50,5.2,24.5,13.6,0.5,1.12,7.62,1.38,45,2.81,2.81
184,2015,Ravens,63.0,6.6,79.4,31.2,0.313,-73,5.3,33.3,13.4,0.75,1.5,7.62,1.75,62,3.88,3.88
185,2015,Commanders,69.6,7.7,102.0,37.5,0.563,9,5.6,36.1,7.3,1.36,1.69,6.56,1.38,61,3.81,3.81
186,2015,Saints,69.0,7.8,100.6,37.0,0.438,-68,5.9,36.3,12.7,1.6,2.0,8.12,1.25,85,5.31,5.31
187,2015,Seahawks,68.1,8.3,109.8,38.8,0.625,146,5.9,42.0,18.4,2.12,2.88,7.31,1.0,69,4.31,4.31
188,2015,Steelers,66.3,8.2,91.2,35.1,0.625,104,6.3,40.5,10.8,0.93,2.06,5.88,1.75,82,5.12,5.12
189,2015,Texans,57.8,6.6,85.3,33.9,0.563,26,4.9,28.9,8.9,1.45,2.25,6.69,1.25,54,3.38,3.38
